,deal_metric,display_name
9188134,51.6903418989,Motorola Moto G4 (16GB)
11345359,51.6113950497,Motorola Moto Z Dual (32GB)
10817202,51.4366903807,HTC U Play (32GB)
11159130,51.3692236346,Asus Zenfone 3 (32GB)
5308163,51.0728391218,Apple iPhone 6 Plus (16GB)
11504329,50.9504820141,LG K10 (2017) Dual (16GB)
10000323,50.9006804811,Xiaomi Mi 5s Plus (128GB)
9724038,50.6604938539,Motorola Moto G4 Play (16GB)
10036784,50.4264635051,Huawei Honor 7 Lite Fingerprint (16GB)
8873827,50.171218593,Crypto Creev Mark V Plus (16GB)
11404867,50.1339165043,Lenovo K10 (8GB)
11775269,49.7824552151,Motorola Moto G4 Plus (16GB)
10340038,49.6141066679,MLS Trend 4G Dual (16GB)
7599025,49.3505687586,Huawei Mate S (32GB)
10295883,48.1021462506,Samsung Galaxy A9 Pro (32GB)
10529304,47.9074251978,ZTE Blade A512 Dual (16GB)
5450546,47.8741907752,Xiaomi Mi 4 (16GB)
11067546,47.6219481046,Blu Life One X2 (64GB)
10410188,47.6062722316,Ulefone Armor (32GB)
9079935,47.1486599015,Lenovo Vibe K5 Note (16GB)
11999773,46.9582801622,Leagoo T10 (32GB)
11002102,46.8458699435,ZTE Blade A610 Plus (32GB)
9672674,46.7679975348,Xiaomi Redmi Note 4 High Edition (MediaTek) (3GB/64GB)
10670668,46.7354605583,Samsung Galaxy J1 Mini Prime (8GB)
11758232,46.7202491525,HTC Desire 628 (16GB)
10943018,46.7137618117,Asus Zenfone 3S Max (ZC521TL)
9986194,46.7122898697,Asus ZenFone 3 Max (16GB)
7401406,46.6737756789,Sony Xperia Z5 (32GB)
10902417,46.5656460194,OnePlus 3T (128GB)
8669043,46.4605719433,Apple iPhone SE (64GB)
11328639,45.5737489283,Leagoo T1 (16GB)
10822203,45.4836363175,Go Clever Quantum 2 500 N (8GB)
9896674,45.2916884426,Samsung Galaxy J3 Pro Dual (16GB)
11201373,45.2613168646,Leagoo M8 (16GB)
10756522,45.120518153,Samsung Galaxy A5 Duos 2017 (32GB)
9501836,44.2213923862,Xiaomi Redmi Pro (32GB)
9177791,44.196795562,Motorola Moto G4 Dual (16GB)
10199444,44.1211822583,HomTom HT16 (8GB)
11181013,44.02312072,LG X Mach Dual (32GB)
11542837,43.5681607566,Huawei P10 Dual (64GB)
11168093,43.5170534361,Sony Xperia XA1 Dual (32GB)
10117891,43.0515021238,LeTV LeEco Le 2 (32GB)
10620346,42.8186885676,Alcatel Pop 4 Plus (16GB)
10129132,42.5262582418,Meizu M3 Max (64GB)
8880414,42.4288674028,Umi Touch (16GB)
11891076,42.4118381661,Huawei P8 Lite Smart Dual (16GB)
9489172,41.8855860701,Alcatel OneTouch Idol 4 (16GB)
11721961,41.8251835377,Xiaomi Redmi Note 4 Exclusive (MediaTek) (4GB/64GB)
5983545,41.4729030071,LG G Flex 2 (16GB)
6871862,41.4227723695,Sony Xperia M4 Aqua (8GB)
10905372,41.270037605,Elephone S7 (64GB)
11273339,40.8089878089,MLS Alu 5.5 3G (8GB)
11927756,40.7006795797,Alcatel A5 Led Dual (2GB/16GB)
11316446,40.5164686669,Elephone R9 (3GB/32GB)
11853299,40.5135157027,Sony Xperia XA1 Ultra Dual (32GB)
10619076,40.4947509492,Wiko U Feel Lite (16GB)
10297324,40.3552244469,LeEco Cool1 3GB Dual (32GB)
9535232,40.2023307042,Huawei P9 Lite (2GB/16GB)
11224401,39.8249024368,General Mobile GM 5 Plus Dual (32GB)
6666214,39.639182398,Samsung Galaxy Xcover 3 (8GB)
7357035,39.4822258095,HTC One Me (32GB)
10528878,39.3762885807,Meizu M3X (32GB)
10697717,39.1854104559,Huawei Mate 9 (64GB)
11088051,38.8757629312,TP-LINK Neffos Y5 (16GB)
9669553,38.5218577468,Kingzone S2 (8GB)
8239538,38.4647244488,Doogee Y200 (32GB)
10642366,38.4060331353,Sony Xperia X Performance Dual (64GB)
7400603,38.3358090034,Sony Xperia Z5 Premium (32GB)
7723431,38.2846853391,Doogee Valencia 2 Y100 Plus (16GB)
9454972,38.055505503,Umi Super (32GB)
9055991,37.7405790814,Alcatel OneTouch Pixi 4 (6) 3G (8GB)
10327645,37.5732702289,MLS Alu 3G (8GB)
10865008,37.5453782223,Xiaomi Mi 6 (128GB)
10183106,37.0859015939,Huawei Honor 6X (3GB/32GB)
11504435,36.8906019052,Meizu Pro 6s (64GB)
10093039,36.7348166838,Cubot Max (32GB)
8695009,36.5964483105,Samsung Galaxy S7 Duos (32GB)
9107905,36.5945806645,Xiaomi Mi Max (32GB)
7811257,36.3679040646,LG Nexus 5X (32GB)
11103281,36.2626125808,TP-LINK Neffos X1Max (32GB)
10351487,36.1652157956,Blu Life Mark (16GB)
10250011,35.8093763782,Huawei Y6 II Compact (16GB)
9524580,35.5819084905,Cubot Cheetah (32GB)
11842722,35.435127592,Cubot Rainbow 2 (16GB)
10906621,34.8148910525,Vernee Mars (32GB)
10010229,34.6191302683,Google Pixel (32GB)
9232277,34.1301260593,Meizu M3 Note (16GB)
11402091,34.0026510174,Xiaomi Mi 5c (64GB)
10271610,33.8663760439,Huawei Mate 9 Dual (64GB)
9306016,33.6519291007,Huawei P9 Lite (3GB/16GB)
9409925,32.8365264974,Alcatel OneTouch Pop UP (16GB)
9995201,32.7835762253,Oukitel C4 (8GB)
9445259,32.7125853896,Huawei Honor 7 Lite (16GB)
10059165,32.2473436551,Asus ZenFone 3 (64GB)
11598831,32.1000392944,Lenovo Phab2 Plus (32GB)
6733376,31.690090681,MLS iQTalk Onyx Dual (16GB)
7780575,31.6121822718,Lenovo Vibe P1m (16GB)
11542884,31.1290904369,Lenovo Vibe P2 (4GB/64GB)
10296471,30.7934572108,BlackView E7s (16GB)
7504732,30.3349764837,Apple iPhone 6s (128GB)
10529171,30.1005363207,Cubot S550 Pro (16GB)
9898535,29.6441556506,Wiko Jerry (16GB)
11317816,29.4593258976,Blu Joy
8988217,29.2416849493,LG X Screen (16GB)
8332719,28.9579363582,Samsung Galaxy S7 (32GB)
9192081,28.9124921449,Meizu M3 (32GB)
11472657,28.4484844515,Vivo X7 (64GB)
7364333,27.9970699022,Samsung Galaxy Core Prime Value Edition (8GB)
7424465,27.889218963,Apple iPhone 6s Plus (16GB)
6260915,27.7924312346,Samsung Galaxy S6 (32GB)
9669402,27.7689729683,THL T9 Pro (16GB)
10455691,27.5923817562,ZTE Axon 7 (64GB)
10620877,27.4143631508,Huawei P8 Lite Smart (16GB)
9898913,27.3356071206,Huawei Ascend G8 (16GB)
8490920,27.3134799633,Xiaomi Mi 5 Standard (32GB)
9419455,27.1646612162,Alcatel OneTouch Pixi 4 (5) 3G (8GB)
9898380,27.0360018037,Wiko U Feel (16GB)
9272109,26.9530730607,Motorola Moto G4 Plus (16GB) Dual Sim
10729050,26.5735364186,Bluboo Maya Max (32GB)
11414294,26.4734419645,LG X Style (16GB)
9361502,26.3663270634,Sony Xperia XA Dual (16GB)
9173554,26.1330877389,HTC Desire 728 (16GB)
9130370,26.0922649707,Oukitel K6000 Pro (32GB)
11103292,25.2769459428,TP-LINK Neffos X1 (32GB)
11778634,25.1779926978,MLS Top-S 4G (8GB)
10468510,24.9981560562,Lenovo B Dual (8GB)
10858255,24.9488327589,BQ Aquaris U Lite (16GB)
7321695,24.6818663763,Samsung Galaxy J5 Duos 4G (8GB)
10858159,24.6263911052,BQ Aquaris U (16GB)
8913485,24.293525486,Samsung Galaxy J2 Duos (8GB)
10283639,24.2765106153,Ulefone Tiger (16GB)
6044652,24.1932939133,HTC Desire 620G Dual (8GB)
11774124,24.1844022522,MaxCom MM818
9969844,24.1667150767,Doogee T6 Pro (32GB)
7259273,24.1404882586,Acer Liquid M220 Single (4GB)
9304030,23.8684776332,Huawei P9 Lite Dual (3GB/16GB)
8628040,23.8090868757,Apple iPhone SE (16GB)
8720352,23.0348135679,HomTom HT7 Pro (16GB)
3783653,22.8638601865,Apple iPhone 5C (16GB)
8758228,22.7596158155,Oukitel C2 (8GB)
9757914,22.594571999,Vodafone Smart Mini 7 (4GB)
9730380,22.5706948699,Wiko Lenny 3 (16GB)
9572084,22.4987734087,Doogee X5 Max Pro (16GB)
7335154,22.4643590841,Samsung Galaxy S5 Neo (16GB)
11779034,22.43063771,MLS Slice 4G (16GB)
8087014,22.0880604324,Crypto Creev Mark V (16GB)
11860092,21.94802464,Hisense C30 (32GB)
10742492,21.8064518452,Leagoo M5 Plus (16GB)
10631640,21.5212183923,Umi Max (16GB)
8176770,21.4858637927,Alcatel OneTouch 2045X
8784094,21.2063146154,Ulefone Be Pro 2 (16GB)
7556921,21.0102204647,LG Nexus 5X (16GB)
9615369,20.912118033,RugGear RG310 (4GB)
8256116,20.6421987115,Nokia 230 Dual
10065912,20.2290608108,BlackView BV6000s (16GB)
5898447,19.9341397334,Nokia 130
10242193,19.8579350147,Meizu U20 (32GB)
8444503,19.7914165991,Huawei Honor 5X (16GB)
10756340,19.668696672,Samsung Galaxy A5 2017 (32GB)
10829406,19.6532092047,Mediacom PhonePad Duo S552U 4G (16GB)
11103582,19.5084172657,Huawei P8 Lite (2017) (16GB)
9524579,19.4748191842,Hisense F20 (8GB)
9468414,19.2672644865,iNew U5W (8GB)
6989466,19.216767133,HTC Desire 526G (8GB)
10021828,19.036991195,Doogee X7 Pro (16GB)
7620866,18.9654551013,Asus ZenFone 2 Laser (16GB) (ZE550KL)
9783215,18.785209781,Apple iPhone 7 (128GB)
8281639,18.6640434571,Cubot S550 (16GB)
10977749,18.268992384,Alcatel Pop Star 5070D (4G) (8GB)
10802015,18.0572369983,Energizer Energy 100
8437937,18.0113520891,Panasonic EZ240
10690391,17.8505023798,ZTE Blade A512 Single (16GB)
9668091,17.6329340811,HTC Desire 630 (16GB)
9875453,17.5384992416,Oukitel U7 Plus (16GB)
8340504,17.3366273968,Asus ZenFone Max (16GB)
6264653,17.1930271748,HTC One M9 (32GB)
10725259,17.1586824872,Nokia 216
11823211,17.1325180341,Vivo Y67 (32GB)
10339856,17.0646372839,MLS Diamond 4G Fingerprint C8 Dual (32GB)
8379646,17.0056891657,Nokia 230
10340158,16.9510531916,Coolpad Modena 2 (16GB)
9332994,16.7926058352,Energy Sistem Phone Max 4000 (8GB)
11871165,16.690010762,Hisense F22 (8GB)
9815040,16.4830935624,Sony Xperia X Compact (32GB)
9198786,16.3276410737,Huawei Ascend Y360 (4GB)
10456126,16.2121056609,Alcatel 2008
9668098,16.1901219008,Samsung Galaxy J7 2016 Duos (16GB)
8783760,16.0998437056,MLS iQTalk Color 5.5'' Dual 4G (16GB)
10338475,15.9745326512,OnePlus 3T (64GB)
9624747,15.2609910633,Cubot X16 S (16GB)
6999080,15.1469344225,Alcatel OneTouch Pixi 3 (4) 3G (4GB)
11407671,14.9848179454,Huawei P10 (64GB)
8972925,14.9070232302,ZTE Blade V6 (16GB)
10756520,14.7408434948,Samsung Galaxy A7 Duos 2017 (32GB)
10057571,14.7305972529,Motorola Moto E (3rd Gen) (8GB)
8153619,14.5688769134,Energy Sistem Phone Max 4G (16GB)
6536691,14.5213724738,Microsoft Lumia 640 XL 3G Dual (8GB)
11943489,14.4698592587,Mediacom PhonePad Duo X532L Lite (16GB)
7753482,14.3584725563,Nokia 222 Single
9287438,14.2853081153,OnePlus 3 (64GB)
9301596,14.2771110527,Coolpad Torino (16GB)
10922201,14.0454712131,Huawei Mate S Dual (64GB)
10922474,13.8721059166,Blu Vivo XL2 (32GB)
11471388,13.8123898664,Vivo Y66 (32GB)
10617623,13.5917363032,Lenovo B (8GB)
10409332,13.4223287519,MLS Color mini 4G Dual (16GB)
10184447,13.3027869185,Xiaomi Mi Note 2 (128GB)
10020336,13.0675566703,MaxCom Strong MM901
9536994,12.7011638495,Meizu M3s (32GB)
7050290,12.6872542904,"Alcatel OneTouch Idol 3 5.5"" (16GB)"
10315447,12.6862199671,Xiaomi Redmi 4 Prime
10742681,12.4989223526,ZTE Blade L5 Plus (8GB)
10603460,12.4777482412,Archos 50 Titanium 4G (8GB)
9783217,12.4290284317,Apple iPhone 7 Plus (128GB)
8046417,12.4288275474,Xiaomi Redmi Note 3 (16GB)
9517102,12.4243804243,Hisense C20 (32GB)
10000278,12.0957283111,Xiaomi Mi 5s (64GB)
11317504,12.0219024061,Elephone C1 (16GB)
11933023,11.9968833572,Oppo A57 (32GB)
9751440,11.6340448308,LG X Power (16GB)
10975652,11.6169270631,LG K5 Dual (8GB)
11104153,11.5448443619,Blu Studio XL LTE (8GB)
9064268,11.5237526225,ZTE Blade L5 (8GB)
9535485,11.4855910964,Xiaomi Mi Max (64GB)
10551073,11.3471744229,Lenovo K6 (16GB)
9562308,11.2136973456,ZTE Nubia Z9 Max (16GB)
7463630,11.1713042195,HTC One E9 (16GB)
7129068,11.096363743,ZTE Blade L3 (8GB)
7655259,10.7368042424,Nokia 222 Dual
11292248,10.7038350618,Asus ZenFone 2 Laser ZE500KL (8GB)
10943635,10.4581415598,MLS iQTalk Titan 4G (16GB)
10537404,10.1364825306,Acer Liquid Zest Plus (16GB)
7514433,10.0215026853,Leagoo Elite 1 (32GB)
7992726,9.96112760695,MLS iQTalk Color 5'' Dual 4G (16GB)
5535970,9.79789525197,Nokia 130 Dual
10468270,9.77305974749,Nokia 216 Dual
10925916,9.70040716736,Meizu U10 (32GB)
6261140,9.54243736646,Samsung Galaxy S6 Edge (32GB)
10829293,9.48891133338,Mediacom PhonePad Duo G515 (8GB)
10286322,9.00485807489,Meizu M5 (16GB)
5307730,8.85620878609,Apple iPhone 6 (16GB)
6808160,8.64046105739,LG Joy (4GB)
11002883,8.0304064051,Samsung Galaxy J2 (2016) (8GB)
10430269,7.78124167903,Billow S500HD (8GB)
10784537,7.58727382454,Nokia 6 (4GB/64GB)
9098838,7.09485443086,Coolpad Torino S (16GB)
10252434,7.08956000956,MaxCom MM819BB
8153953,6.93400827744,Samsung Galaxy J1 Ace (4GB)
11882414,6.90968171614,MaxCom MM720
10725712,6.66768115476,HTC Desire 10 Lifestyle (16GB)
8880028,6.37943120802,Samsung Galaxy J1 Mini Dual (8GB)
7219275,6.25496937016,Samsung Galaxy Trend 2 Lite (4GB)
10339621,6.01270007947,MLS Diamond 4G Fingerprint TS Dual (32GB)
10822358,5.97417193367,eStar A28
6871261,5.80667983116,Huawei P8 Lite (16GB)
9338643,5.77588104687,HomTom HT17 (8GB)
9555755,5.71968174319,LG K4 Dual (8GB)
9259567,5.68986171502,Energy Sistem Phone Pro 4G (32GB)
11398551,5.68972182433,Meizu M5s (16GB)
8909064,5.5931827974,Xiaomi Redmi Note 3 Pro (16GB)
9360800,5.54345340173,Lenovo Vibe P1 (16GB/2GB)
10251789,5.17671155017,Wiko Robby (16GB)
9517024,4.75236616793,BlackView R7 (32GB)
8333136,4.58926725318,Samsung Galaxy S7 Edge (32GB)
9674179,4.49159311878,ZTE Blade A2 (16GB)
9941623,4.42545122664,Motorola Moto Z Play Dual (32GB)
9815039,3.79657947432,Sony Xperia XZ (32GB)
11457430,3.61480451738,Huawei P10 Dual (32GB)
9595109,3.23467895986,Sony Xperia XA Ultra (16GB)
8693332,3.21088843007,Huawei GR3 (16GB)
10977348,3.03048087503,Leagoo Z5C (8GB)
10010654,2.98961406016,Google Pixel (128GB)
8395434,2.51475163493,MLS iQTalk Color Mini Dual (8GB)
7967487,2.51117800849,Samsung Galaxy J5 Duos 3G (8GB)
10765893,2.30176524073,Asus Pegasus 5000 (16GB)
10822252,2.19961931404,Go Clever Quantum 4 550 (8GB)
7621172,2.16776063656,Vodafone Smart Speed 6 (8GB)
11343960,2.13308094896,Vernee Apollo (64GB)
9970342,1.94370109993,Motorola Moto Z (32GB)
8864337,1.7749091979,Samsung Galaxy J1 Duos 2016 (8GB)
11363216,1.62093025756,HTC One A9 (32GB)
7750303,1.57762522321,Huawei Honor Y5 (8GB)
9188756,1.31557431066,HTC One S9 (16GB)
11985985,1.30667470575,Geotel A1 (8GB)
9216668,1.28510112236,Cubot Dinosaur (16GB)
9359615,0.964378505076,MLS iQTalk Diamond Fingerprint 4G (16GB)
11922908,0.946164676188,Denver GSP-120
11159597,0.650815298191,Asus ZenFone 3 Max (ZC553KL) (32GB)
8842715,0.502532266943,TP-LINK Neffos C5 (16GB)
11500067,0.45705904344,Lenovo Moto G5 (3GB/16GB)
8938578,0.451563430907,Leagoo Shark 1 (16GB)
8984763,0.0654507369587,Elephone P9000 (32GB)
11822409,0.0458695271665,Lenovo Moto G5 Plus (3GB/32GB)
10046764,-0.245242769905,LG K3 Dual (8GB)
10766007,-0.269186724032,VKworld Crown V8
8082430,-0.293843367348,Gigabyte GSmart Essence (8GB)
11235834,-0.46389134282,LG K10 (2017) (16GB)
11406663,-0.612172859782,Meizu M5s (32GB)
6918686,-0.804302191908,HTC Desire 626G Dual (8GB)
10774028,-0.841090936451,Gigaset GS160 (16GB)
8995944,-1.07304879596,Ulefone Vienna (32GB)
7508833,-1.12119202891,ZUK Z1 (64GB)
9558425,-1.23533015385,ZTE Blade A510 (8GB)
10653368,-1.24948837995,Samsung Galaxy On7 (2016) (32GB)
6933062,-1.43801730345,Huawei Ascend Y360 Dual (4GB)
7487368,-1.59520079076,Doogee Galicia X5 (8GB)
9995245,-1.8068915463,Asus ZenFone 3 Max (32GB) (ZC520TL)
8617989,-2.60126490922,HomTom HT3 (8GB)
10975938,-2.61343197194,Archos 50f Helium (32GB)
6798407,-2.62668839646,Blackberry Leap (16GB)
11235867,-2.66782290453,LG K8 (2017) (16GB)
7860520,-2.8085294815,Coolpad Modena (8GB)
8414735,-2.80862969989,Sony Xperia X Performance (32GB)
11222349,-2.87662275774,Huawei P10 Lite Dual (4GB/32GB)
6696391,-3.4500408577,Lenovo A6000 Dual (8GB)
9359794,-3.57846305827,MLS iQTalk Diamond Fingerprint 4G Dual (16GB)
9426447,-3.72540306343,LG K5 (8GB)
11617813,-3.80027930919,Alcatel 10.50D
10084353,-3.91017506228,BlackView A8 Max (16GB)
7621093,-4.03311343293,Lenovo A1000 (8GB)
7751495,-4.18673301866,Huawei Honor Y6 (8GB)
11938751,-4.33229573994,LG K4 Dual (2017) (8GB)
11317549,-4.42902714918,eStar A18
9415563,-4.50797918041,Oukitel K4000 Pro (16GB)
10620558,-4.66690516313,ZTE V580 (16GB)
9189255,-4.76008919542,Meizu Pro 6 (32GB)
8874945,-5.06962418177,HomTom HT3 Pro (16GB)
8414880,-5.14476695948,Sony Xperia XA (16GB)
11067689,-5.57817792608,NO.1 M3 (16GB)
10455448,-5.58865732812,Ulefone Be Pure Lite (8GB)
10643104,-5.90634598587,MLS Spirit 8C (16GB)
7408246,-5.95344716675,Leagoo Elite 4 (16GB)
6677566,-6.37885308439,HTC One M8s (16GB)
3656048,-6.44580943996,Nokia 105
10864048,-6.62497131525,Ulefone U008 Pro (16GB)
7288733,-6.7194853944,LG G4s (8GB)
9445080,-6.74333141656,Huawei Y3II (8GB)
9105758,-7.05821755128,Allview A5 Ready (8GB)
10513102,-7.0974033161,Go Clever Quantum 3 550 Rugged (16GB)
10529267,-7.12578154972,Meizu Pro 6 Plus (128GB)
9542574,-7.20821604466,ZTE Blade L110 (8GB)
9520852,-7.39646880166,Xiaomi Redmi 3X (32GB)
10436853,-7.53490919394,Xiaomi Redmi Note 3 Pro Special Edition (32GB)
10966518,-7.55407970223,Acer Liquid Zest 3G (8GB)
7697920,-7.95073318517,Doogee Galicia X5 Pro (16GB)
9845360,-8.14945821556,Lenovo C2 Power (16GB)
10327727,-8.1703990471,MLS Status 4G Dual (8GB)
10499793,-8.60093142599,ZTE Blade A310 (Dual) (8GB)
11718680,-8.61557078502,Huawei P10 Lite Dual (3GB/32GB)
7634034,-8.89090558779,Microsoft Lumia 950 XL (32GB)
10813568,-8.95635727216,MLS Ruby 4G (16GB)
8515393,-9.08619399833,Meizu M1 Metal (16GB)
7945421,-9.14231727885,Doogee F5 (16GB)
8735993,-9.48963513272,HTC Desire 530 (16GB)
7634031,-9.9435624947,Microsoft Lumia 550 (8GB)
10315407,-10.0532333739,Xiaomi Redmi 4
11008141,-10.1542914778,Xiaomi Redmi Note 4X (Snapdragon) (64GB)
10830222,-10.4782932629,Acer Liquid Zest 4G (8GB)
8999919,-10.4827498397,Lenovo Vibe K5 (16GB)
7507905,-10.5410167343,Caterpillar S30 (8GB)
9410037,-10.7151234179,Bluboo Picasso (16GB)
10445742,-10.8750537839,LG X Cam (16GB)
10741925,-10.9515066897,Wiko Sunny (8GB)
10000048,-11.0095368484,Xiaomi Mi 5s (128GB)
9618789,-11.0909469442,Umi London (8GB)
9925764,-11.3441962515,HTC Desire 10 Pro (64GB)
8436609,-11.4512007766,Panasonic GD18
8435610,-11.7360099615,Cubot Note S (16GB)
11316846,-11.8137680905,Oukitel U15S (32GB)
9820435,-11.9407440037,Lenovo A (4GB)
10955366,-11.9659133694,Leagoo Z3C (8GB)
10655541,-12.0183907272,Huawei Y5 II (8GB)
11224622,-12.0878862829,MLS iQTalk Flame (8GB)
8864711,-12.1011102199,Samsung Galaxy J5 Duos 2016 (16GB)
6487975,-12.1577941499,Microsoft Lumia 640 LTE (8GB)
8515689,-12.1985974263,THL T7 (16GB)
9468830,-12.2169580024,Huawei Y5 II Dual (8GB)
10430833,-12.5956289022,Lenovo A Plus (8GB)
11700712,-12.6782628272,TP-LINK Neffos Y50 (8GB)
11585974,-12.7883015237,Vivo Y55 (16GB)
